"comm","id","articulo","autor","subcomunidad","palabrasclaves","fecha"
"comm4105","17163","Consideraciones generales sobre el uso del portafolio de desempeño docente en educación superior.","Cordero Arroyo, Graciela","Acción Pedagógica","Portafolios de desempeño docente;Desarrollo académico;Educación superior","2006-04-18"
"comm4105","17657","El mito en la edad de la hermenéutica.","Rodríguez Silva, Aníbal","Agora Trujillo","Mito;Verdad;Hermenéutica;Arte","2007-09-19"
"comm4105","17164","Ética y universidad: reflexiones fenomenológicas para una filosofía de los valores en la universidad.","Mora García, José Pascual","Acción Pedagógica","Ética;Universidad;Filosofía educativa;Gerencia","2006-04-17"
"comm4105","17658","Alternativas de mitigación de riegos naturales en la microcuenca de la quebrada El Oro, Cuenca del Río Castán. Trujillo-Venezuela.","Pérez Colmenares, Soraya","Agora Trujillo","Riesgos naturales;Expansión urbana;Alternativas de ocupación;Carcavamiento","2007-09-20"
"comm4105","17166","Patrón sexual de los indígenas Kurripako (Venezuela).","Aragón Diez, Jesús;Acero V., Claudia","Acción Pedagógica","Patrón sexual;Indígena;Etnias;Kurripako;Curripaco;Variables socioindividuales","2006-04-17"
"comm4105","17170","Aristóteles y la educación en la virtud.","Quicios García, María del Pilar","Acción Pedagógica","Mesótes;Tó mesón;Naturaleza;Hábitos;Razón;Hombres;Bueno;Feliz","2006-07-26"
"comm4105","17662","Historia de un diario zuliano decimonónico: El fonógrafo; Sus aportes en el estudio de la cotidianidad maracaibera.","Bermúdez Briñez, Nilda;Romero, María M.","Agora Trujillo","Diario El Fonógrafo;Siglo XIX","2007-09-19"
"comm4105","17046","Las paradojas de la calidad educativa","Ferrández Arenaz, Adalberto","Acción Pedagógica","Calidad de la educación;Indicadores;Criterios;Referentes;Anacronismo","2003-01-16"
"comm4105","18107","MERCOSUR, ALCA y Brasil: una evaluación política sobre posibles estrategias de actuación diplomática","de Almeida, Paulo Roberto","Aldea Mundo","Integración regional","2005-04-13"
"comm4105","17050","La formación universitaria en entonos virtuales: un estudio de caso en la ULA Táchira","Henríquez C., Patricia","Acción Pedagógica","Entorno virtual;Formación universitaria;Campus virtual","2004-04-14"
"comm4105","17053","El nuevo rol del profesor en entornos tecnológicos","Cervera, Mercé Gisbert","Acción Pedagógica","Formación profesorado;Entorno tecnológico de enseñanza y aprendizaje (ETE-A);Tecnologías de Información y Comunicación (TIC)","2003-01-16"
"comm4105","23894","Relación entre la infección por el virus de la Hepatitis C (VHC) y la Diabetes Mellitus tipo 2 (DM2)","Gottberg, Gabriela;Pérez Maldonado, César I.;Uzcátegui, Lilia;Valeri R., Lenin;Pujol, F.;Garzaro, Domingo","Revista de la Facultad de Farmacia","Hepatitis virales;Hepatitis C;Virus de la hepatitis C;Diabetes Mellitus;HOMA;QUICKI","2008-05-20"
"comm4105","17055","Estrategias didácticas en el uso de las Tecnologías de la Información y la Comunicación","Fandos Garrido, Manuel;Jiménes G, José M.;González Soto, Angel-Pio","Acción Pedagógica","Formación presencial-virtual;Estrategias didácticas;Procesos de enseñanza y aprendizaje;Tecnologías de Información y Comunicación (TIC)","2003-01-16"
"comm4105","17085","Una convergencia de arte, psicología y pedagogía para la escuela: El Prelibro.","Barradas Nahr, Mariela","Acción Pedagógica","Psychologie;Éducation;Esthétique;Art;Psicología;Educación;Estética;Arte","2005-06-17"
"comm4105","17637","Proposiciones teóricas para la enseñanza-aprendizaje de la escritura en educación básica.","Caldera, Reina","Agora Trujillo","Escritura;Enseñanza;Aprendizaje;Metalingüística;Constructivismo","2007-02-15"
"comm4105","17089","Pedagogía, conocimiento crítico y multiculturalismo. Un desafio para el siglo XXI.","Castiñeiras, Martha","Acción Pedagógica","Pédagogie;Multiculturalisme;Pedagogía;Multiculturalismo","2005-06-21"
"comm4105","18112","El ALCA en la perspectiva de Colombia","Pulecio, Jorge R.","Aldea Mundo","Integración;Ley de Preferencias Arancelarias Andinas y Erradicación de Drogas (ATPDEA);ATPA","2005-04-13"
"comm4105","17091","Democracia y ciudadanía en la escuela Colombiana.","Castillo Guzmán, Elizabeth","Acción Pedagógica","Démocratie;École;Socialisation;Scolaire;Citoyenneté;Democracia;Socialización escolar;Ciudadanía;Escuela","2005-11-17"
"comm4105","19471","Valores, Globalización y Cultura","Díaz Piña, Jorge","Educere","Globalización;Postmodernidad","2004-06-14"
"comm4105","17095","La ciudad en el aula: Algunas propuestas teórico-didácticas para su enseñanza.","Aranguren R., Carmen","Acción Pedagógica","Interdisciplinariedad;Théorie;Didactique;Ville;Complexité;Teoría;Didáctica;Ciudad;Interdisciplinariedad;Complejidad","2005-06-18"
"comm4105","17097","Función paterna, pautas de crianza y desarrollo psicológico en adolescentes: Implicaciones psicoeducativas.","Arvelo, Leslie","Acción Pedagógica","Foction paternelle;Développement psychologique;Règles d’éducation;Adolescence;Función paterna;Desarrollo psicológico;Pautas de crianza;Adolescencia","2005-07-15"
"comm4105","18113","Venezuela y su participación en el ALCA: opciones y desafíos","Alvarez de Flores, Raquel;Briceño Ruiz, José;Bustamante de Pernía, Ana Marleny","Aldea Mundo","Integración;Regionalismo","2005-04-13"
"comm4105","17099","Relación sujeto-objeto y la teoría mecanicista de la psicología.","Negrete B., Plinio","Acción Pedagógica","Expérience;Sujet - relation de l’objet;Science psychologique;Théorie de connaissance;Experiencia;Relación sujeto-objeto;Ciencia psicológica;Teoría del conocimiento","2005-06-18"
"comm4105","17136","Propuesta para la evaluación del ensayo periodístico universitario.","Bustamante N., Jenny;García Romero, Marisol","Acción Pedagógica","Évaluation;Essai journalistique;Enseignement et apprentissage du journalisme;Ensayo periodístico;Evaluación;Enseñanza y aprendizaje del periodismo","2007-02-22"
"comm4105","17137","El destinatario ausente en el evento enunciativo: rasgo reiterado en las producciones escritas de estudiantes universitarios.","Vílchez, Mayela","Acción Pedagógica","Intervention pédagogique;Production textuelle;Principe de coopération de Grice;Intervención pedagógica;Producción textual;Principio de cooperación de Grice","2006-03-30"
"comm4105","18118","Frecuencia del deseo sexual en dos etnias indígenas de la frontera de Venezuela con Colombia y Brasil: Añú y Yanomami","Aragón Diez, Jesús","Aldea Mundo","Deseo sexual;Etnias;Indígena;Hombres;Mujer;Añú;Yanomami","2005-04-13"
"comm4105","17650","Problemática de la lectura  y la escritura. La enseñanza del francés en el NURR.","Chacín, Julia;Pinto, Mauro","Agora Trujillo","Lectura;Escritura;Comprensión;Expresión;Francés","2007-02-15"
"comm4105","17141","Evaluar la escritura, sí... Pero ¿Qué y cómo evaluar?.","Morales Ardaya, Francisco","Acción Pedagógica","Évaluation de l'écriture;Didactique de l' écriture;Écriture académique;Evaluación de cursos en línea;Didáctica de la escritura;Escritura académica","2006-03-30"
"comm4105","17143","El análisis de la concepción de la diversidad a través de los refranes y frases hechas como recurso en la formación de formadores.","Ricoy Lorenzo, María Carmen;Feliz Murias, Tiberio","Acción Pedagógica","Investigation;Diversité;Ressource;Stratégies;Diversidad;Recurso;Estrategia;Investigación","2006-03-30"
"comm4105","18718","El tercer sector en los municipios Maracaibo y San Francisco del Estado Zulia: Un intento de clasificación.","Rodríguez López, Judith E.;Scarbay Rodríguez, Lisbeth Ch.","Cayapa","Tiers secteur;Politique sociale;Services sociaux;Population bénéficiaire;Tercer sector;Política social;Área de atención;Población beneficiaria","2006-01-11"
"comm4105","17651","Aproximación al mapa de susceptibilidad y amenazas por deslizamientos  de la ciudad de Trujillo, Venezuela.","Roa, José Gregorio","Agora Trujillo","Deslizamientos;Susceptibilidad a deslizamientos;Amenazas por deslizamientos;Evaluación  multicriterio;Sistemas de Información Geográfica (SIG);Andes venezolanos","2007-02-15"
"comm4105","18122","La institución escolar en los cantones de La Grita y San Cristóbal en el tiempo histórico de la Gran Colombia (1821-1830)","Mora García, José Pascual","Aldea Mundo","Historia de la educación;Institución escolar;Mentalidad educativa","2005-04-13"
"comm4105","17162","El docente universitario ante los nuevos escenarios: implicaciones para la innovación docente.","Tejada Fernández, José","Acción Pedagógica","Estudios interactivos a distancia;Internet y educación;Video-conferencia de escritorio;Tecnologías de Información y Comunicación (TIC)","2006-07-26"
"comm4105","17180","La educación contemporánea entre la racionalidad técnico instrumental y la emancipación: un intento de aproximación a la obra de Jürgen Habermas.","Delgado de Colmenares, Flor","Acción Pedagógica","Racionalidad técnico - instrumental;Educación;Emancipación","2006-04-17"
"comm4105","17667","El niño trabajador: Una mirada desde la escuela.","Ruiz Morón, Deyse;Rondón, Nuremi;Solé, Carlexy","Agora Trujillo","Trabajo infantil y juvenil;Educación;Escuela;Children and youth workers","2007-09-19"
"comm4105","17218","Aplicaciones de la perspectiva cognitiva en la enseñanza a través de redes telemáticas.","Cabero A., Julio;Román G., Pedro","Acción Pedagógica","Réseaux télématiques de communication;TIC;Communautés virtuelles;Approches cognitives et constructivistes;Redes telemáticas de comunicación;Tecnologías de Información y Comunicación (TIC);Comunidades virtuales;Teorías cognitiva y constructivista","2007-03-01"
"comm4105","17674","Los hipermapas. Alternativa pedagógica y didáctica para la enseñanza de la geografía, historia y ciencias de la tierra.","Coronado Cabrera, Emiro Antonio","Agora Trujillo","Hipermapa;Geografía;Historia;Ciencias de la tierra","2008-07-29"
"comm4105","25142","Diseño de una red de participación de actores para la gestión de los sistemas de financiamiento.","Obando Uzcátegui, Laura Angelina;Delgado Barrios, Juan Carlos","Visión Gerencial","Sistemas de financiamiento;Actores locales;Desarrollo económico local;Capital social;Redes de participación social","2007-11-16"
"comm4105","24015","Proyecto socioeducativo de ciudad: un escenario para el conocimiento y la formación de valores ciudadanos.","Aranguren R., Carmen;Antúnez Pérez, Ángel Z.","Revista de Teoría y Didáctica de las Ciencias Sociales","Grupo de Investigación Teoría y Didáctica de las Ciencias Sociales;Éducation;Ville;Citoyenneté;Connaissance;Complexité;Ciudad;Educación;Ciudadanía;Conocimiento;Complejidad","2006-02-23"
"comm4105","17676","Formación desde el centro escolar y sus incidencias en la práctica de enseñanza. Caso de docentes trujillanos de I y II etapa de educación básica.","Marrone, Elena J.;Ferreres Pavia, Vicente","Agora Trujillo","Formación permanente;Centro escolar;Práctica de enseñanza;Enseñanza de la matemática;Desarrollo profesional","2008-07-29"
"comm4105","17231","Módulo educativo multimedia para la enseñanza de dinámica y control de procesos.","Ortíz R., Ismael J.;Rennola Alarcón, Leonardo;Bullón T., Johnny J.","Acción Pedagógica","Éducation multimédia;Contrôle de processus;Simulation;Educación multimedia;Control de procesos;Simulación","2007-03-05"
"comm4105","17035","Las trampas de la calidad","Santos Guerra, Miguel Angel","Acción Pedagógica","Calidad;Neoliberalismo;Escuela;Descentralización;Educación","2003-01-16"
"comm4105","18124","Caracterización económica de los municipios fronterizos del estado Táchira: Ayacucho, García de Hevia, Michelena y Lobatera","Caraballo, Leonardo Javier","Aldea Mundo","Municipios fronterizos;Aspectos demográficos;Actividades económicas","2005-04-13"
"comm4105","17173","Las pasantías de la carrera de educación básica integral: un espacio para la reflexión en la práctica.","Chacón Corzo, María A.","Acción Pedagógica","Formación docente;Práctica profesional;Pasantías;Investigación;Acción;Reflexión","2007-02-27"
"comm4105","18129","Los cambios de la globalización y los fundamentos teóricos para enseñar la geografía","Santiago Rivera, José Armando","Aldea Mundo","Globalización;Enseñanza de la geografía","2005-04-13"
"comm4105","17213","Capacitación del adulto significativo, desde una experiencia de educación no formal, en el nivel de educación inicial.","Mora de Dukón, Rita","Acción Pedagógica","Formation;Adulte de référence;Alternatives non conventionnelles;Stratégies;Médiation consciente;Capacitación;Adulto significativo;Alternativas no convencionales;Estrategias;Mediación consciente","2006-07-11"
"comm4105","17246","Consideraciones para la formación de los docentes en ejercicio en Venezuela. Partir de las condiciones reales.","Grupo de Tecnologías Educativas, CPTM","Acción Pedagógica","Transformation des enseigants en exercice au Venezuela;Nécessités et contenus;Formación de docentes en ejercicio;Venezuela;Necesidades y contenidos","2007-03-02"
"comm4105","19479","Declaración Mundial Sobre la Educación Superior en el Siglo XXI:","United Nations Educational, Scientific, and Cultural Organization (UNESCO)","Educere","Educación superior","2004-06-14"
"comm4105","17285","Enseñanza del texto organizacional.","Cuéllar, Luis","Acción Pedagógica","Didactique de l' écriture;Texte organisationnel;Didáctica de la escritura;Texto organizacional","2008-05-14"
"comm4105","17286","La práctica profesional docente desde la perspectiva de los estudiantes practicantes y tutores.","Escobar, Nancy","Acción Pedagógica","Stage de formation professionnel;Stagiaires;Maître de stage;Práctica profesional docente;Estudiantes practicantes;Tutores de la práctica","2008-05-14"
"comm4105","17696","Los precios de los cereales a nivel internacional y la seguridad alimentaria en los países de América Latina","Cartay, Rafael;Ghersi, Gérard","Agroalimentaria","Cereales;Precios;Seguridad alimentaria","2003-01-20"
"comm4105","18356","La disyuntiva del uso de la energía atómica: fines pacíficos o militares. Los primeros veinte años de debate y la participación de México a través de Manuel Sandoval Vallarta (1946-1966).","Ortega Soto, Martha","Bitácora-e","Energía nuclear;Bomba atómica;Fisión;Reacción en cadena;Comisión de energía atómica","2007-09-03"
"comm4105","17288","Prevención del riesgo social a través de una docencia competente.","Quicios García, María del Pilar","Acción Pedagógica","Prévention;Risque social;Axiologie enseignante;Compétences;Prevención;Riesgo social;Exclusión social;Axiología docente;Competencia","2008-05-14"
"comm4105","17697","Revisión de algunas tendencias del pensamiento agro-alimentario (1945-1994)","Molina, Luisa Elena","Agroalimentaria","Agribusiness;Cultura alimentaria;Economía agroalimentaria","2003-08-15"
"comm4105","17289","La sistematización de consultas educativas: orientaciones para su desarrollo en contextos locales y regionales.","Rodríguez Trujillo, Nacarid","Acción Pedagógica","Conseils éducatifs;Le traitement de l’information;Métodologie;Consulta;Educación;Sistematización;Metodología","2008-05-14"
"comm4105","17290","Estrategias de aprendizaje: del desarrollo intelectual al desarrollo integral.","Otero Ramos, Idania;Nieves Achón, Zaida;Pérez Martínez, Armenio;Martínez Verde, Rosario","Acción Pedagógica","Développement;Apprentissage;Stratégies d'apprentissage;Desarrollo;Aprendizaje;Estrategias de aprendizaje","2008-05-14"
"comm4105","17698","Concepto y condicionantes de la seguridad alimentaria en hogares","Dehollain, Paulina L.","Agroalimentaria","Alimentación en el hogar;Seguridad alimentaria","2005-11-08"
"comm4105","17291","Bases teóricas para el funcionamiento operativo de REMCYT en la FECLUZ.","Petit Torres, Elsa Emilia","Acción Pedagógica","Reseau;Innovation;coopération;Gestion;Red;Conocimiento;Innovación;Socialización;Cooperación;Gestión","2008-05-14"
"comm4105","18144","El resurgimiento del carisma","Canelón, Fidel","Aldea Mundo","Carisma;Cesarismo;Tradición;Racionalidad instrumental;Profeta;Guerrero;Retórico","2005-04-13"
"comm4105","17292","El enfoque complejo de las competencias y el diseño curricular por ciclos propedéuticos.","Tobón, Sergio","Acción Pedagógica","Compétences;Pensée complèxe;Cycles propédeutiques;Éducation supérieure;Competencias;Pensamiento complejo;Ciclos propedéuticos;Educación superior","2008-05-13"
"comm4105","17367","Mecanismos de transmisión de la política monetaria.","Chuecos, Alicia E.","Actualidad Contable FACES","Mecanismos de transmisión monetaria;Política monetaria;Reglas de política","2006-07-17"
"comm4105","17233","Desarrollo básico de un laboratorio virtual de control de procesos basado en internet.","Casallas, Ricardo;Chacón Rugeles, Rafael;Posso, Fausto","Acción Pedagógica","Laboratoires virtuels;Contrôle de processus;Systèmes client/serviteur;Laboratorios virtuales LabView;Control de procesos;Sistema cliente/servidor","2007-03-02"
"comm4105","17235","Autoevaluación institucional en la escuela de medicina de la universidad de los Andes, extensión Táchira.","D' Santiago, Ilse M.","Acción Pedagógica","Auto-évaluation institutionnelle;Contexte;Entreé;Procéssus;Produit;Autoevaluación institucional;Contexto;Input;Proceso;Producto","2007-04-10"
"comm4105","17678","Filosofía del limite: la condición humana desde el discurso ético contemporáneo.","Ojeda, Juana","Agora Trujillo","Límite;Ética;Razón fronteriza;Condición humana","2008-07-29"
"comm4105","17237","Incorporación de la informática en la educación inicial en Venezuela.","Garassini, Maria E.","Acción Pedagógica","Éducation initiale;Software éducatif;Informatique;Informática;Educación inicial;Software educativo","2007-03-05"
"comm4105","17239","Plataformas tecnológicas para el entorno educativo.","Sánchez R., José","Acción Pedagógica","Plate-forme d'enseignement virtuel;Standars de qualités;Critères de sélection de plate-formes virtuelles;Plataformas de enseñanza virtual;Estándares de calidad;Criterios de selección de plataformas virtuales","2007-03-01"
"comm4105","17251","El aprendizaje de funciones reales con el uso de un software educativo: una experiencia didáctica con estudiantes de educación de la ULA-Táchira.","Maita Guedez, Maryianela","Acción Pedagógica","Apprentissage;Mathématiques;Software éducatif;Aprendizaje;Matemáticas;Software educativo","2007-03-01"
"comm4105","18135","La estrategia transnacional en los países desarrollados y en vías de desarrollo","Bolívar, Reinaldo","Aldea Mundo","Inversión;Trasnacionales;Desarrollo;Comercio;Capitales;Globalización;Economía","2005-04-13"
"comm4105","17685","La participación del Zulia y Los Andes en el proyecto de rehabilitación autonomista de Ignacio Andrade.","Ferrer, Dilian","Agora Trujillo","Centralismo;Federalismo;Coyunturas políticas;Siglo XIX","2008-07-29"
"comm4105","17255","Formación docente en inglés con fines específicos (IFE).","Girardot, Linda","Acción Pedagógica","Formation;Objectifs spécifiques;Analyse;Besoin;Programme;Enseignement;Fines específicos;Análisis;Necesidades;Programa;Formación;Enseñanza","2007-05-15"
"comm4105","17686","Los sistemas de información para el cuadro de mando integral en pequeñas y medianas empresas industriales en Maracaibo - Estado Zulia.","Kunath, Irene;Alizo, María Alexandra;Graterol, Angela","Agora Trujillo","Tecnologías de información;Modelo de gestión;Cuadro de mando integral;PYMI;Industrias","2008-07-29"
"comm4105","17258","Cultura profesional de un grupo de docentes de educación superior.","Murzi López, Martha María","Acción Pedagógica","Culture professionnelle;Travail collaboratif;Formation professionnelle;Cultura profesional;Trabajo colaborativo;Formación profesional","2007-05-15"
"comm4105","20546","Presentación:","Aguilera, Oscar","Fermentum","Sociología;Antropología","2007-10-30"
"comm4105","17261","Interferencia léxica y sintáctica de la segunda lengua en la lengua materna en un seminario de iniciación a la traducción.","Reyes Y., Fabiola S.","Acción Pedagógica","Traduction;Interférence;Calque;Emprunt;Traducción;Interferencia;Calco;Préstamo","2007-06-28"
"comm4105","17687","Políticas de ajuste y seguridad alimentaria en Venezuela (1983-1993)","Gutiérrez S., Alejandro;Ablan Bortone, Elvira;Abreu O., Edgar A.","Agroalimentaria","Consumo calórico;Disponibilidad alimentaria;Políticas de ajuste;Producción de alimentos;Seguridad alimentaria","2003-11-20"
"comm4105","17262","Las creencias de autoeficacia: un aporte para la formación del docente de inglés.","Chacón, Carmen Teresa","Acción Pedagógica","Autoefficacité;Croyances;Théorie sociocognitive;Formation de l’enseignant;Auto eficacia;Creencias;Teoría sociocognitiva;Inglés;Formación docente","2007-05-14"
"comm4105","18137","Misión y visión geopolítica global de Estados Unidos y Gran Bretaña","Portillo, Alfredo","Aldea Mundo","Misión;Visión;Geopolítica;Global;Espacio geográfico","2005-04-13"
"comm4105","17264","Todo docente es un maestro de lectura. El paradigma del lector estratégico.","Escalante de Urrecheaga, Dilia;Caldera, Reina","Acción Pedagógica","Alphabétisation;Lecteur stratégique;Aires du savoir;Alfabetización;Lector estratégico;Áreas de contenido","2007-05-15"
"comm4105","17266","La revisión: uso de los comentarios para mejorar textos escritos en inglés.","Villalobos, José","Acción Pedagógica","Expression écrite;Révision;Commentaires;Centre d’expression écrite;Escritura;Revisión;Comentarios;Centro de escritura","2007-05-14"
"comm4105","18722","Financiamiento público de las asociaciones cooperativas del estado Trujillo. Caso: Fondo único de desarrollo del estado Trujillo.","Colmenares de Carmona, Loyda Dury;Higuerey G., Ángel A.;Adriani M., Rolando C.","Cayapa","Coopératives;Fonds de financement;Organismes publics;Cooperativas;Financiamiento;Organismos públicos","2007-03-09"
"comm4105","17268","El conocimiento de lo social y humano en el lindero paradigmático.","Delgado de Colmenares, Flor","Acción Pedagógica","Recherche sociale et humaine;Domaines paradigmatiques;Investigación social y humana;Linderos paradigmáticos","2007-05-15"
"comm4105","17275","La dramatización de cuentos y leyendas en la clase de inglés como lengua extranjera.","Breckenridge, Jay","Acción Pedagógica","Anglais;Légendes;Histoires;Pantomime;Dramatisation;Inglés;Leyendas;Historias;Pantomima;Dramatización","2007-05-15"
"comm4105","17276","La enseñanza y la evaluación de la lengua: formas de establecer conexiones apropiadas.","Hancock, Charles R.","Acción Pedagógica","Évaluation formative;Évaluation sommative;Enseignement;Langues étrangères;Langues secondes;Evaluación formativa;Evaluación sumativa;Enseñanza;Lenguas extranjeras;Segunda lengua (L2)","2007-05-14"
"comm4105","17277","Mejora académica y profesional de la suficiencia oral: un seminario lingüístico-colaborativo para estudiantes no nativos en TESOL.","Keiko K., Samimy;Soonhyang, Kim","Acción Pedagógica","Professionnels non-natifs;Développement professionnel;Capacité orale en anglais;Formation;Profesionales no nativos;Desarrollo profesional;Suficiencia oral del inglés;Capacitación","2007-05-14"
"comm4105","18140","Las dos caras de la globalización","Censi, Florencia","Aldea Mundo","Globalización;Integración económica;Antiglobalización","2005-04-13"
"comm4105","19933","Representación social del proyecto pedagógico de aula en docentes de educación inicial.","Hernández R., Marbelys J.;Pargas, Luz","Educere","Representaciones sociales;Proyecto pedagógico de aula;Educación;Social representations","2007-03-29"
"comm4105","17278","La comprensión lectora y la redacción académica como centro del curriculum.","Arrieta de Meza, Beatríz;Batista Ojeda, Judit Teresa;Meza Cepeda, Rafael Daniel;Meza Corona, Daniel Ysaac","Acción Pedagógica","Compréhension écrite;Rédaction académique;Curriculum;Comprensión lectora;Redacción académica;Currículo","2007-05-15"
"comm4105","17280","El rol de la escritura dentro del currículo de la enseñanza-aprendizaje del inglés como segunda lengua (esl/efl): una perspectiva histórica.","Mota de Cabrera, Carmen Rafaela","Acción Pedagógica","Expression écrite en langue étrangère;Modalités du langage;Développement des connaissances;Escritura en lengua extranjera;Modalidades del lenguaje;Desarrollo del conocimiento","2007-05-15"
"comm4105","17281","Motivación interna y rendimiento académico de los estudiantes de inglés de la ULA Táchira.","Pérez M., Clevia J.","Acción Pedagógica","Motivation interne;Rendement académique;Attitude;Anglais langue étrangère;Motivación interna;Rendimiento académico;Actitudes;Inglés como lengua extranjera","2007-05-15"
"comm4105","17282","Razonamiento metafórico del conocimiento científico.","Alvarez P., Nancy A.","Acción Pedagógica","Métaphore;Dimensions ou catégories scientifiques;Compréhension du texte scientifique;Metáfora;Dimensiones o categorías científicas;Comprensión del texto científico","2008-09-03"
"comm4105","18723","El grupo (chantier) de economía social y los sectores de la economía social en Québec.","Huot, Geneviève;Bussières, Denis","Cayapa","Economía Social;Economía solidaria;Québec","2006-08-25"
"comm4105","17283","Uso de mapas conceptuales y trabajo cooperativo en aulas con elevada matrícula estudiantil.","Añez, Omaira;Ferrer, Kenna;Velazco, Wendy","Acción Pedagógica","Cartes conceptuelles;Travail coopératif;Apprentissage significatif;Mapas conceptuales;Trabajo cooperativo;Aprendizaje significativo","2008-05-14"
"comm4105","17284","De un perfil docente tradicional a un perfil docente basado en competencias.","Galvis, Rosa Victoria","Acción Pedagógica","Compétences;Profil d’enseignant;Formation;Competencias;Perfil del docente;Formación","2008-05-13"
"comm4105","17299","El largo camino de las competencias. Diseño de perfiles y programas.","Bautista-Cerro Ruíz, María José","Acción Pedagógica","Compétences;Enseignement supérieur;Profil professionnel;Profil de formation;Competencias;Educación superior;Perfil profesional;Perfil formativo","2008-05-13"
"comm4105","17300","Detección de las necesidades formativas de los equipos directivos: paso previo para el diseño de planes de formación.","Molina Yuncosa, Nuby;Contreras Chacón, Azael E.","Acción Pedagógica","Administation de l'école;Besoins de formation;Innovation éducative;Gestion pédagogique;Dirección escolar;Necesidades formativas;Innovación educativa;Gestión pedagógica","2008-05-14"
"comm4105","17702","Venezuela: Un perfil general.","Quevedo, Rafael Isidro","Agroalimentaria","Mercado;Tenencia;Tierra","2003-01-20"
"comm4105","17302","La argumentación como forma de comunicación en el discurso del profesor universitario.","Tarabay Yunes, Fany;León Salazar, Aníbal","Acción Pedagógica","Classe magistrale;Argumentation;Action communicative;Clase magistral;Argumentación;Acción comunicativa","2008-05-14"
"comm4105","17303","Aproximación metodológica para la metaevaluación de la calidad programática en el ámbito de la educación superior.","González López, Rosalina","Acción Pedagógica","Qualité;Évaluation;Programmes de formation;Méta-évaluation;Acréditation;Calidad;Evaluación;Currículo;Metaevaluación;Acreditación","2008-05-14"
"comm4105","18147","Caminos, Ganaderia, Comercio y Poblaciones Andinas entre Venezuela y Colombia. Siglos XVI-XX","Maldonado D., Hector Augusto","Aldea Mundo","Caminos;Ganadería;Comercio;Proceso de poblamiento andino","2005-04-13"
"comm4105","17304","Competencias de lectura crítica. Una propuesta para la reflexión y la práctica.","Serrano de Moreno, Stella;Madrid de Forero, Alix","Acción Pedagógica","Lecture critique;Compétences de lecture;Lecteur critique;Lectura crítica;Competencias básicas;Lector crítico","2008-05-14"
"comm4105","17704","Notas sobre la situación de la producción primaria de arroz en Venezuela","Molina, Luisa Elena","Agroalimentaria","Arroz;Consumo;Producción;Rendimiento;Sistemas de riego;Superficie;Tierra","2003-08-15"
"comm4105","17306","Concepciones sobre enseñanza de la lectura de estudiantes de educación mención lenguas modernas.","Lobo, Sandra;Morales, Oscar Alberto","Acción Pedagógica","Conception;Étudiants;Enseignement;Lecture;Langues étrangères;Concepción;Estudiantes;Formación docente;Enseñanza;Lectura;Lenguas extranjeras","2008-05-14"
"comm4105","17316","Indicadores no financieros de la contabilidad de gestión: Herramienta del control estratégico","Morillo Moreno, Marysela C.","Actualidad Contable FACES","Control;Indicadores;Información;Costos;Estrategia","2005-03-31"
"comm4105","17710","Los productos típicos y su reglamentación.","Cartay, Rafael","Agroalimentaria","Cacao;Denominación de origen;Productos típicos","2003-01-20"
"comm4105","17317","Contabilidad y ambiente. Una disciplina y un campo para el conocimiento y la acción","Ablan Bortone, Nayibe","Actualidad Contable FACES","Problemas ambientales;Empresa;Ambiente;Contabilidad ambiental","2005-03-31"
"comm4105","18125","Globalización, geografía, política y fronteras","Boisier, Sergio","Aldea Mundo","Globalización;Territorio;Identidad;Conocimiento;Regiones fronterizas","2005-04-13"
"comm4105","19475","Educación:","Klisberg, Bernardo","Educere","Educación","2004-06-14"
"comm4105","17187","La educación preescolar un derecho que tiene la infancia a participar en situaciones educativas que sirvan para impulsar su desarrollo integral.","Escobar de Murzi, Mery Faviola","Acción Pedagógica","Éducation préscolaire;Développement;Actions;Intention;Expérience;Sens;Médiation;Stimulation;Educación preescolar;Desarrollo;Acciones;Intencionalidad;Experiencia;Sentido;Mediación;Estimulación","2006-07-11"
"comm4105","17664","Desarrollando actitudes positivas hacia la vejez desde la educación inicial.","Pachano Rivera, Lizabeth;Álvarez, Nery","Agora Trujillo","Educación inicial;Formación en valores;Actitudes;Vejez;Ancianidad;Growth of values","2007-09-19"
"comm4105","17188","Juegos electrónicos: retos a los procesos educativos y pedagógicos.Un estudio de casos.","Vilera de Girón, Aliria","Acción Pedagógica","Console play station;Pratique pédagogique;Défis;Enseignement critique;Juego play station;Prácticas pedagógicas;Retos;Enseñanza crítica","2006-07-12"
"comm4105","18126","Estrategias de los actores del componente primario del sistema alimentario, en el contexto de la globalización","Quintero Rizzuto, Liliana;García Lobo, Ligia","Aldea Mundo","Sistema alimentario;Globalización;Competitividad;Productor primario;Estrategia","2007-11-05"
"comm4105","19931","Evaluación del taller los mapas como herramienta didáctica en los proyectos pedagógicos de aula.","Pérez Arriaga, Rebeca","Educere","Proyecto pedagógico de aula;Cartografía;Geografía;Currículo;Educación Física","2005-06-20"
"comm4105","17193","El desarrollo en la noción de espacio en el niño de educación inicial.","Castro de Bustamante, Jeannett","Acción Pedagógica","Notion d'espace;Euclidien;Projectif et topologique;Noción de espacio;Euclidiano;Proyectivo y topológico","2006-07-12"
