"comm","id","articulo","autor","subcomunidad","palabrasclaves","fecha"
"comm1","13262","Desarrollo de un Sistema de Información Bio-Climática para el Edo Mérida","Torréns Heeren, Rodrigo J.","Facultad de Ingeniería","Sistemas de información;Sistemas de información web;Información Bioclimática;Metadatos;Internet","2002-06-04"
"comm1","25769","Hago esculturas para que la gente reflexione.","Colina de Dávila, Nancy","Facultad de Arquitectura y Diseño","Entrevista.;Ícono de la ULA","2006-06-28"
"comm1","25770","Paezada.","Páez Ortíz, Carlos","Facultad de Arquitectura y Diseño","Caricatura;Ícono de la ULA","2006-06-28"
"comm1","25772","Manuel de la Fuente, escultor español y profesor en Mérida.","Delgado, Rafael","Facultad de Arquitectura y Diseño","Reseñas y noticias;Ícono de la ULA","2006-06-28"
"comm1","25773","Esculturas y dibujos de Manuel de la Fuente.","Galea Portillo, Edith","Facultad de Arquitectura y Diseño","Artículo de opinión;Ícono de la ULA","2006-06-26"
"comm1","15686","La moraleja de una familia criolla: Los lobo venezolanos y sus primos cubanos, antes y despues de la revolución cubana","Ely, Roland T.","Facultad de Ciencias Jurídicas y Políticas","Ícono de la ULA","2008-09-11"
"comm1","25775","Manuel de la Fuente es siempre de bronce.","Guzmán, Patricia","Facultad de Arquitectura y Diseño","Artículo de opinión;Ícono de la ULA","2006-06-26"
"comm1","25777","Mensaje de Su Santidad Juan Pablo II: el monumento debe ser un símbolo y un centro de trabajo a favor de la paz.","Juan Pablo II","Facultad de Arquitectura y Diseño","Reseñas y noticias;Ícono de la ULA","2006-06-28"
"comm1","15690","La formulación e instrumentación de la política exterior del Brasil, 1964-1985","Ely, Roland T.","Facultad de Ciencias Jurídicas y Políticas","Ícono de la ULA","2008-09-11"
"comm1","15691","Brasil y Las Guyanas","Ely, Roland T.","Facultad de Ciencias Jurídicas y Políticas","Ícono de la ULA","2008-09-11"
"comm1","25778","El gaditano Manuel de la Fuente, escultor, triunfa en Venezuela.","Higinio","Facultad de Arquitectura y Diseño","Entrevista.;Ícono de la ULA","2006-06-26"
"comm1","15692","La integración económica en América Latina","Ely, Roland T.","Facultad de Ciencias Jurídicas y Políticas","Ícono de la ULA","2008-09-11"
"comm1","15694","Las migraciones de los comerciantes serfardíes en el Gran Caribe. El caso de los Lobo cubanos","Ely, Roland T.","Facultad de Ciencias Jurídicas y Políticas","Ícono de la ULA","2008-09-11"
"comm1","25779","Biografía y breve reseña de Manuel de la Fuente.","Anónimo","Facultad de Arquitectura y Diseño","Biografía;Ícono de la ULA","2006-06-26"
"comm1","25780","La Virgenzota.","Fuentes, Elizabeth","Facultad de Arquitectura y Diseño","Artículo de opinión;Ícono de la ULA","2006-06-28"
"comm1","15698","Mayo 68 en Francia: ¿por qué los estudiantes?.","Dávila, Luis Ricardo","Facultad de Ciencias Jurídicas y Políticas","Estudiantes;Universidad","2008-05-07"
"comm1","25782","Quiero sentirme obrero del arte.","Baralt, Luis Enrique","Facultad de Arquitectura y Diseño","Reseñas y noticias;Ícono de la ULA","2006-06-28"
"comm1","25785","Ras-guños.","RAS","Facultad de Arquitectura y Diseño","Caricatura;Ícono de la ULA","2006-06-28"
"comm1","15725","Estado seguridad y Fuerzas Armadas en la era de la globalización: una aproximación a Venezuela.","Rivas Leone, José Antonio;Quintero Acosta, Mayela","Facultad de Ciencias Jurídicas y Políticas","Fuerzas armadas;Seguridad;Globalización","2007-10-15"
"comm1","15727","Transformaciones y crisis de los partidos políticos. La nueva configuración del sistema de partidos en Venezuela","Rivas Leone, José Antonio","Facultad de Ciencias Jurídicas y Políticas","Partidos políticos;Democracia;Crisis","2007-10-15"
"comm1","33277","Integración de la programación declarativa y la programación orientada por objetos para desarrollar agentes inteligentes","Amaya, Jhon","Facultad de Ingeniería","Tesis PGCOMP","2011-06-07"
"comm1","15729","Chávez en el poder. Notas sobre la transición venezolana","Ramos Jiménez, Alfredo","Facultad de Ciencias Jurídicas y Políticas","Transición","2007-10-05"
"comm1","15730","Partidócratas y plebiscitarios. Notas sobre el liderazgo y la gobernanza en Venezuela.","Ramos Jiménez, Alfredo","Facultad de Ciencias Jurídicas y Políticas","Partidocrático;Liderazgo;Neopopulismo;Gobernanza","2007-10-15"
"comm1","15732","Aventuras y desventuras del populismo en América Latina.","Rivas Leone, José Antonio;Araque Calderon, José","Facultad de Ciencias Jurídicas y Políticas","Populismo;Ideologías políticas","2007-10-15"
"comm4105","17408","Modelo de regresión logística multinomial y análisis de correspondencias múltiple: un estudio de la siniestrabilidad en el IPP-ULA.","Flores P., Elizabeth;Sinha, Surendra P.;Nava P., Luis A.","Actualidad Contable FACES","Análisis de correspondencias múltiple;Efectos diferenciales;Logit generalizado;Posibilidades;Regresión logística multinomial;Seguro HCM","2007-06-18"
"comm1","15734","Viejo y nuevo. Partidos y sistemas de partidos en las democracias andinas.","Ramos Jiménez, Alfredo","Facultad de Ciencias Jurídicas y Políticas","Partidos políticos;Democracia","2007-10-15"
"comm1","15736","Sobrevivir sin gobernar","Ramos Jiménez, Alfredo","Facultad de Ciencias Jurídicas y Políticas","Gobierno","2007-10-05"
"comm1","15738","Venezuela, el ocaso de una democracia bipartidista","Ramos Jiménez, Alfredo","Facultad de Ciencias Jurídicas y Políticas","Elecciones;Bipartidismo;Gobernabilidad","2007-10-15"
"comm1","15742","Reglamento para solicitar la reincorporación por causas no imputables.","Mora Bastidas, Freddy","Facultad de Ciencias Jurídicas y Políticas","Reglamento;Causas no imputables;Solicitud de reincorporación;Tramitación administrativa","2007-03-28"
"comm1","15747","Propuesta de inclusión de normas del Reglamento de la Especialización en Derecho Administrativo.","Mora Bastidas, Freddy","Facultad de Ciencias Jurídicas y Políticas","Reglamento;Especialidad en derecho administrativo;Objeto del postgrado;Líneas de investigación;Estructura organizativa;Normas de admisión y permanencia;Trabajo de grado","2006-02-06"
"comm1","33286","Desarrollo de un enfoque computacional para la Extracción y caracterización del movimiento del Ventrículo izquierdo en imágenes de tomografía Multicapa","Mantilla Jáuregui, Juan José","Facultad de Ingeniería","Ventrículo izquierdo;movimiento cardíaco;tomografía computarizada multicapa;angiocardiografìa biplana;correspondencia no rígida;bull eye, torsión;contracción radial;Tesis PGCOMP","2011-06-07"
"comm1","15757","El debilitamiento de las finanzas municipales en Venezuela y sus consecuencias.","Rangel, Christi","Facultad de Ciencias Jurídicas y Políticas","Finanzas municipales;Eficiencia pública;Descentralización","2008-04-02"
"comm1","41879","Código del preso: acerca de los efectos de la subcultura del prisionero.","Crespo, Freddy;Bolaños González, Mireya","Facultad de Ciencias Jurídicas y Políticas","Adaptación;Cultura;Persuasión;Mortificación;Rehabilitación;Valores;Penalidad","2016-05-11"
"comm1","43429","La criminología latinoamericana: temas, perspectivas y políticas públicas en el tránsito del milenio","Gabaldón, Luis Gerardo","Facultad de Ciencias Jurídicas y Políticas","Criminología;Reacción social;Potencialidad;Orden legal;Reflexión;Disciplina;Delito;Prevención","2017-05-17"
"comm1","41882","Institutional Legitimacy and Crime in Venezuela","Crespo, Freddy","Facultad de Ciencias Jurídicas y Políticas","Crime;Legitimacy;Crime rates;Venezuela","2016-05-11"
"comm1","33282","Diseño e implementación de un Servidor de Mapas Web para una Red Bioclimática en Montaña Caso de Estudio: Parque Nacional Sierra Nevada de Mérida, Vertiente norte del Pico Bolívar","García Mora, Nelly","Facultad de Ingeniería","Tesis PGCOMP","2011-06-07"
"comm1","33291","Establecimiento de criterios de gobernabilidad de ti en las empresas colombianas","Velásquez Pérez, Torcoroma","Facultad de Ingeniería","Tesis PGCOMP","2011-06-08"
